Test Case ID,Module,Test Scenario,HTTP,Status Code,Actual Result
AUTO-USERS-LIST,Profile,Get all users,GET /users,200,"GET /users returned 200. Response: {""count"": 2, ""data"": [{""email"": ""sakshi@example.com"", ""role"": ""Creator"", ""id"": 1, ""full_name"": ""sakshi""}, {""email"": ""autotest@example.com"", ""role"": ""creator"", ""id"": 3, ""full_name"": ""Auto Test User""}]}"
AUTO-USERS-GET1,Profile,Get user by ID (1),GET /users/1,200,"GET /users/1 returned 200. Response: {""message"": ""User retrieved successfully"", ""data"": {""email"": ""sakshi@example.com"", ""role"": ""Creator"", ""id"": 1, ""full_name"": ""sakshi""}}"
AUTO-USERS-CREATE,Profile,Create a new user,POST /users,400,"POST /users returned 400. Response: {""detail"": ""Email already exists""}"
AUTO-AUD-LIST,Audience Analytics,Get all audience records,GET /audience,200,"GET /audience returned 200. Response: [{""creator_id"": 1, ""age_group"": ""18-24"", ""gender"": ""female"", ""country"": ""India"", ""city"": ""Bangalore"", ""device_type"": ""Mobile"", ""active_hour"": 19, ""followers"": 5000, ""impressions"": 8000, ""reach"": 6500, ""id"": 1}, {""creator_id"": 1, ""age_group"": ""25-34"", ""gender"": ""male"", ""country"": ""India"", ""city"": ""Mu"
AUTO-AUD-CREATE,Audience Analytics,Create audience record,POST /audience,201,"POST /audience returned 201. Response: {""creator_id"": 1, ""age_group"": ""18-24"", ""gender"": ""female"", ""country"": ""India"", ""city"": ""Bengaluru"", ""device_type"": ""mobile"", ""active_hour"": 20, ""followers"": 1000, ""impressions"": 5000, ""reach"": 3000, ""id"": 510}"
AUTO-AUD-GET1,Audience Analytics,Get audience by ID (1),GET /audience/1,200,"GET /audience/1 returned 200. Response: {""creator_id"": 1, ""age_group"": ""18-24"", ""gender"": ""female"", ""country"": ""India"", ""city"": ""Bangalore"", ""device_type"": ""Mobile"", ""active_hour"": 19, ""followers"": 5000, ""impressions"": 8000, ""reach"": 6500, ""id"": 1}"
AUTO-AUD-REPORT,Audience Analytics,Audience analytics report,GET /analytics/audience,200,"GET /analytics/audience returned 200. Response: {""total_followers"": 3873266, ""total_reach"": 6163768, ""total_impressions"": 8283625, ""gender_distribution"": {""female"": 35, ""other"": 32, ""male"": 34}, ""age_distribution"": {""45-54"": 14, ""13-17"": 16, ""35-44"": 17, ""25-34"": 18, ""18-24"": 19, ""55+"": 16}, ""top_country"": ""Canada"", ""top_city"": ""Toronto"", ""top_de"
AUTO-AUD-GROWTH,Growth & Trends,Growth analytics report,GET /analytics/growth,200,"GET /analytics/growth returned 200. Response: [{""date"": ""2026-08-01"", ""followers"": 127700, ""daily_growth"": 0, ""growth_percentage"": 0.0}, {""date"": ""2026-08-01"", ""followers"": 127700, ""daily_growth"": 0, ""growth_percentage"": 0.0}, {""date"": ""2026-08-02"", ""followers"": 128050, ""daily_growth"": 350, ""growth_percentage"": 0.27}, {""date"": ""2026-08-02"", ""fo"
AUTO-AUD-TRENDS,Growth & Trends,Audience trends,GET /analytics/audience-trends,200,"GET /analytics/audience-trends returned 200. Response: [{""date"": ""2026-06-01"", ""followers"": 69709, ""reach"": 21877}, {""date"": ""2026-06-01"", ""followers"": 170934, ""reach"": 17014}, {""date"": ""2026-06-01"", ""followers"": 85031, ""reach"": 9839}, {""date"": ""2026-06-01"", ""followers"": 162191, ""reach"": 14484}, {""date"": ""2026-06-01"", ""followers"": 145481, ""reach"": 31310"
AUTO-CONTENT-LIST,Content Analytics,Get all content,GET /content,200,"GET /content returned 200. Response: [{""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""Auto Test Video"", ""views"": 1000, ""likes"": 100, ""comments"": 10, ""shares"": 5, ""saves"": 2, ""watch_time"": 120.5, ""reach"": 800, ""published_date"": ""2026-09-11"", ""id"": 1127}, {""creator_id"": 1, ""platform"": ""YouTube"", ""e"
AUTO-CONTENT-CREATE,Content Analytics,Create content record,POST /content,201,"POST /content returned 201. Response: {""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""Auto Test Video"", ""views"": 1000, ""likes"": 100, ""comments"": 10, ""shares"": 5, ""saves"": 2, ""watch_time"": 120.5, ""reach"": 800, ""published_date"": ""2026-09-11"", ""id"": 1128}"
AUTO-CONTENT-GET1,Content Analytics,Get content by ID (1),GET /content/1,404,"GET /content/1 returned 404. Response: {""detail"": ""Content with id 1 not found""}"
AUTO-CONTENT-INVALID,Content Analytics,Get content with invalid ID,GET /content/999999,404,"GET /content/999999 returned 404. Response: {""detail"": ""Content with id 999999 not found""}"
AUTO-CONTENT-ENGAGE,Content Analytics,Content engagement analytics,GET /analytics/content/1/engagement,404,"GET /analytics/content/1/engagement returned 404. Response: {""detail"": ""Content with id 1 not found""}"
AUTO-CONTENT-TOP,Content Analytics,Top performing content,GET /analytics/top-content,200,"GET /analytics/top-content returned 200. Response: [{""content_id"": 661, ""content_title"": ""Unboxing #135"", ""platform"": ""Instagram"", ""views"": 40373, ""engagement_rate"": 17.18}, {""content_id"": 787, ""content_title"": ""Milestone Update #261"", ""platform"": ""Instagram"", ""views"": 41265, ""engagement_rate"": 17.18}, {""content_id"": 698, ""content_title"": ""Tutorial "
AUTO-PLATFORM-PERF,Multi-Platform,Platform performance,GET /analytics/platform-performance,200,"GET /analytics/platform-performance returned 200. Response: [{""platform"": ""Instagram"", ""content_count"": 396, ""total_views"": 25462893, ""total_likes"": 2110523, ""avg_engagement_rate"": 9.33}, {""platform"": ""Twitter"", ""content_count"": 106, ""total_views"": 6063403, ""total_likes"": 448686, ""avg_engagement_rate"": 8.81}, {""platform"": ""LinkedIn"", ""content_count"": 111, ""t"
AUTO-PLATFORM-COMPARE,Multi-Platform,Platform comparison,GET /analytics/platform-comparison,200,"GET /analytics/platform-comparison returned 200. Response: [{""platform"": ""Instagram"", ""content_count"": 396, ""total_views"": 25462893, ""total_likes"": 2110523, ""avg_engagement_rate"": 9.33}, {""platform"": ""Twitter"", ""content_count"": 106, ""total_views"": 6063403, ""total_likes"": 448686, ""avg_engagement_rate"": 8.81}, {""platform"": ""LinkedIn"", ""content_count"": 111, ""t"
AUTO-PLATFORM-LIST,Multi-Platform,Available platforms,GET /analytics/platforms,200,"GET /analytics/platforms returned 200. Response: [""Instagram"", ""LinkedIn"", ""TikTok"", ""Twitter"", ""YouTube""]"
AUTO-DASH-SUMMARY,Dashboard,Dashboard summary,GET /analytics/summary,200,"GET /analytics/summary returned 200. Response: {""total_content"": 818, ""total_views"": 56448552, ""total_likes"": 3723714, ""overall_engagement_rate"": 7.57, ""platform_breakdown"": [{""platform"": ""Instagram"", ""content_count"": 396, ""total_views"": 25462893, ""total_likes"": 2110523, ""avg_engagement_rate"": 9.33}, {""platform"": ""Twitter"", ""content_count"": 106,"
AUTO-CHART-ENGAGE,Dashboard,Engagement chart data,GET /analytics/chart/engagement,200,"GET /analytics/chart/engagement returned 200. Response: [{""date"": ""2026-01-01"", ""engagement_rate"": 3.22}, {""date"": ""2026-01-02"", ""engagement_rate"": 7.29}, {""date"": ""2026-01-03"", ""engagement_rate"": 10.92}, {""date"": ""2026-01-04"", ""engagement_rate"": 8.26}, {""date"": ""2026-01-05"", ""engagement_rate"": 9.51}, {""date"": ""2026-01-06"", ""engagement_rate"": 11.02}, {""d"
AUTO-CHART-FOLLOWERS,Dashboard,Followers chart data,GET /analytics/chart/followers,200,"GET /analytics/chart/followers returned 200. Response: [{""date"": ""2026-06-01"", ""followers"": 69709}, {""date"": ""2026-06-01"", ""followers"": 170934}, {""date"": ""2026-06-01"", ""followers"": 85031}, {""date"": ""2026-06-01"", ""followers"": 162191}, {""date"": ""2026-06-01"", ""followers"": 145481}, {""date"": ""2026-06-01"", ""followers"": 122725}, {""date"": ""2026-06-01"", ""followe"
AUTO-YT-SYNC,YouTube Integration,Synchronize YouTube data,POST /social/youtube/sync,404,"POST /social/youtube/sync returned 404. Response: {""detail"": ""No videos found for this channel (empty API response).""}"
AUTO-REV-LIST,Revenue Analytics,Get all revenue records,GET /revenue,422,"GET /revenue returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-REV-CREATE,Revenue Analytics,Add revenue record,POST /revenue,201,"POST /revenue returned 201. Response: {""creator_id"": 1, ""source"": ""sponsorship"", ""amount"": 500.0, ""currency"": ""USD"", ""description"": ""Auto test revenue"", ""date"": ""2026-09-11"", ""id"": 3}"
AUTO-REV-GET1,Revenue Analytics,Get revenue by ID (1),GET /revenue/1,422,"GET /revenue/1 returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-REV-SUMMARY,Revenue Analytics,Revenue summary,GET /analytics/revenue,422,"GET /analytics/revenue returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-REV-TREND,Revenue Analytics,Revenue trend,GET /analytics/revenue-trend,422,"GET /analytics/revenue-trend returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-SPON-LIST,Sponsorship,Get all sponsorships,GET /sponsorship,422,"GET /sponsorship returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-SPON-CREATE,Sponsorship,Create sponsorship record,POST /sponsorship,201,"POST /sponsorship returned 201. Response: {""creator_id"": 1, ""brand_name"": ""AutoTest Brand"", ""campaign_name"": ""Test Campaign"", ""contract_value"": 2000.0, ""start_date"": ""2026-09-11"", ""end_date"": null, ""status"": ""active"", ""payment_status"": ""pending"", ""id"": 3}"
AUTO-SPON-GET1,Sponsorship,Get sponsorship by ID (1),GET /sponsorship/1,422,"GET /sponsorship/1 returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-NOTIF-LIST,Notifications,Get all notifications,GET /notifications,422,"GET /notifications returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-NOTIF-CREATE,Notifications,Create notification,POST /notifications,201,"POST /notifications returned 201. Response: {""creator_id"": 1, ""type"": ""performance"", ""title"": ""Auto Test Alert"", ""message"": ""This is an automated test notification."", ""is_read"": false, ""id"": 42, ""created_at"": ""2026-09-11T09:55:10.221130""}"
AUTO-NOTIF-GET1,Notifications,Get notification by ID (1),GET /notifications/1,422,"GET /notifications/1 returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-NOTIF-READ,Notifications,Mark notification as read,PUT /notifications/1/read,422,"PUT /notifications/1/read returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-NOTIF-CHECK,Notifications,Check alerts,POST /notifications/check-alerts,422,"POST /notifications/check-alerts returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-REPORT-GEN,Reporting,Generate report,GET /reports/generate,422,"GET /reports/generate returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-REPORT-PDF,PDF Export,Export report as PDF,GET /reports/export/pdf,422,"GET /reports/export/pdf returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-REPORT-EXCEL,Excel Export,Export report as Excel,GET /reports/export/excel,422,"GET /reports/export/excel returned 422. Response: {""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""creator_id""], ""msg"": ""Field required"", ""input"": null}]}"
AUTO-ROOT,Navigation,Root endpoint,GET /,200,"GET / returned 200. Response: {""status"": ""CreatorIQ API running""}"
